train_mech,coverage q90 global pooling,coverage q90 category x tier pooling,mean cost global (β=0.5)
A,0.8888135264764304,0.8867787413400513,0.3933493117101204
B,0.8866333995445957,0.8835327745748752,0.40288913093137313
C,0.8814495421733444,0.8793178625066616,0.41622927164363605
