dt,train_mech,n,coverage q90 (conformal),WAPE median (conformal)
2024-06-26,A,2968.0,0.8773584905660378,34.706781257864975
2024-06-26,B,2968.0,0.873989218328841,35.43071839957878
2024-06-26,C,2968.0,0.8611859838274932,36.67584334127988
2024-06-27,A,3169.0,0.8753550015777848,34.698321531429734
2024-06-27,B,3169.0,0.87030609024929,35.449153344356375
2024-06-27,C,3169.0,0.8668349637109498,36.47256943480976
2024-06-28,A,3385.0,0.8957163958641063,32.64825576255982
2024-06-28,B,3385.0,0.8933530280649926,33.19659661067328
2024-06-28,C,3385.0,0.8936484490398818,33.893279440971014
2024-06-29,A,3221.0,0.9009624340266997,30.43590424978388
2024-06-29,B,3221.0,0.9015833592052158,30.8422918261415
2024-06-29,C,3221.0,0.8981682707233778,31.950152859301618
2024-06-30,A,2507.0,0.8540087754287994,34.21838112902149
2024-06-30,B,2507.0,0.8428400478659752,34.79930835797616
2024-06-30,C,2507.0,0.8392500997207818,35.62445255358904
2024-07-01,A,2767.0,0.9071196241416697,33.23449943922314
2024-07-01,B,2767.0,0.9013371882905674,34.19319303217037
2024-07-01,C,2767.0,0.8977231658836284,35.426019901014534
2024-07-02,A,2624.0,0.8921493902439024,35.14290033303393
2024-07-02,B,2624.0,0.895579268292683,35.82586526284147
2024-07-02,C,2624.0,0.8921493902439024,37.4642849930264
