train_mech,sales_tier,mean,size
A,high,0.0904104893307053,11669
A,low,0.09412269412269413,11655
A,mid,0.08401849948612539,11676
B,high,0.08646842060159397,11669
B,low,0.09086229086229086,11655
B,mid,0.07879410757108599,11676
C,high,0.071642814294284,11669
C,low,0.07696267696267696,11655
C,mid,0.06860226104830422,11676
