scenario,beta,policy,train_mech,test_hist,population,unsupported order share,pool fallback share,n,mean cost,median cost,total shortage,total leftover,fill rate,leftover share,cycle service,mean order,median order
excess stock more costly,0.25,Kaplan-Meier order percentile,A,A,full sample,0.0,1.0,20641,0.840409391939526,0.40000002831220627,14486.807200346142,953.3610195592046,0.3961549903598442,0.09116537551588823,0.24591831791095392,0.5066367997574249,0.4000000059604645
excess stock more costly,0.25,Kaplan-Meier order percentile,A,B,full sample,0.0,1.0,20641,0.840409391939526,0.40000002831220627,14486.807200346142,953.3610195592046,0.3961549903598442,0.09116537551588823,0.24591831791095392,0.5066367997574249,0.4000000059604645
excess stock more costly,0.25,Kaplan-Meier order percentile,A,C,full sample,0.0,1.0,20641,0.840409391939526,0.40000002831220627,14486.807200346142,953.3610195592046,0.3961549903598442,0.09116537551588823,0.24591831791095392,0.5066367997574249,0.4000000059604645
excess stock more costly,0.25,Kaplan-Meier order percentile,B,A,full sample,0.0,1.0,20641,0.8373039224579895,0.4300000071525574,14006.547186642885,1092.0810256041586,0.41617338424013933,0.0985946791293686,0.2572549779564944,0.5366246888978838,0.4000000059604645
excess stock more costly,0.25,Kaplan-Meier order percentile,B,B,full sample,0.0,1.0,20641,0.8373039224579895,0.4300000071525574,14006.547186642885,1092.0810256041586,0.41617338424013933,0.0985946791293686,0.2572549779564944,0.5366246888978838,0.4000000059604645
excess stock more costly,0.25,Kaplan-Meier order percentile,B,C,full sample,0.0,1.0,20641,0.8373039224579895,0.4300000071525574,14006.547186642885,1092.0810256041586,0.41617338424013933,0.0985946791293686,0.2572549779564944,0.5366246888978838,0.4000000059604645
excess stock more costly,0.25,Kaplan-Meier order percentile,C,A,full sample,0.019378906060752876,1.0,20241,1.255047399127921,0.5,8740.508120380342,5554.302095122635,0.6022378245351598,0.2956302959463747,0.3780939676893434,0.9282150249962284,0.4000000059604645
excess stock more costly,0.25,Kaplan-Meier order percentile,C,B,full sample,0.019378906060752876,1.0,20241,1.255047399127921,0.5,8740.508120380342,5554.302095122635,0.6022378245351598,0.2956302959463747,0.3780939676893434,0.9282150249962284,0.4000000059604645
excess stock more costly,0.25,Kaplan-Meier order percentile,C,C,full sample,0.019378906060752876,1.0,20241,1.255047399127921,0.5,8740.508120380342,5554.302095122635,0.6022378245351598,0.2956302959463747,0.3780939676893434,0.9282150249962284,0.4000000059604645
excess stock more costly,0.25,TFT (direct) + residual quantile,A,A,deep subsample,0.0,0.6533864541832669,2510,0.6891567981709166,0.4360882379114628,1353.8265942819417,125.31898970901966,0.501543949009852,0.08424622310875403,0.21075697211155378,0.5926424058413957,0.3632439374923706
excess stock more costly,0.25,TFT (direct) + residual quantile,A,B,deep subsample,0.0,0.6533864541832669,2510,0.6891568628306765,0.4360882379114628,1353.82687298581,125.31895090639591,0.5015438463958022,0.08424621500546617,0.21075697211155378,0.5926422793447853,0.3632439374923706
excess stock more costly,0.25,TFT (direct) + residual quantile,A,C,deep subsample,0.0,0.6533864541832669,2510,0.6891569872256887,0.43605247512459755,1353.8279867731035,125.31868372112513,0.5015434363181613,0.08424611360012701,0.21075697211155378,0.5926417291565127,0.3632429242134094
excess stock more costly,0.25,TFT (direct) + residual quantile,B,A,deep subsample,0.0,0.6533864541832669,2510,0.7223144296809022,0.46497613191604614,1349.8919085599482,154.37243664637208,0.5029926337344363,0.10152604282902328,0.22589641434262947,0.6057850881757965,0.3776313066482544
excess stock more costly,0.25,TFT (direct) + residual quantile,B,B,deep subsample,0.0,0.6533864541832669,2510,0.7223144332488695,0.46497613191604614,1349.8919140286744,154.37243780866265,0.5029926317209439,0.10152604388096956,0.22589641434262947,0.605785086460085,0.3776313066482544
excess stock more costly,0.25,TFT (direct) + residual quantile,B,C,deep subsample,0.0,0.6533864541832669,2510,0.7223144384256872,0.4649762511253357,1349.8919272907078,154.3724377192557,0.5029926268380874,0.10152604471365279,0.22589641434262947,0.6057850811407861,0.3776313066482544
excess stock more costly,0.25,TFT (direct) + residual quantile,C,A,deep subsample,0.0,0.6533864541832669,2510,0.6874028540516932,0.43341412395238876,1350.726097771898,124.88502196595073,0.5026854993775525,0.0838042601662929,0.21434262948207172,0.5937047678999514,0.3625059425830841
excess stock more costly,0.25,TFT (direct) + residual quantile,C,B,deep subsample,0.0,0.6533864541832669,2510,0.6874028982179039,0.43341410905122757,1350.726247118786,124.88500913605094,0.5026854443905546,0.08380426067710121,0.21434262948207172,0.5937047032876853,0.3625059723854065
excess stock more costly,0.25,TFT (direct) + residual quantile,C,C,deep subsample,0.0,0.6533864541832669,2510,0.6874028803847463,0.43341410905122757,1350.726719532162,124.88483674451709,0.5026852704559408,0.08380418125535835,0.21434262948207172,0.5937044463932989,0.36250633001327515
excess stock more costly,0.25,TimesNet->TFT + residual quantile,A,A,deep subsample,0.0,0.6533864541832669,2510,0.6585527906557953,0.43831772916018963,1272.4315853342414,126.84530640393496,0.5315122144448337,0.08076984454242044,0.22270916334661356,0.6256787905595692,0.38820314407348633
excess stock more costly,0.25,TimesNet->TFT + residual quantile,A,B,deep subsample,0.0,0.6533864541832669,2510,0.6585527673779256,0.43831772916018963,1272.4314443841577,126.84533391147852,0.5315122663402703,0.08076985339415871,0.22270916334661356,0.6256788576741618,0.3882038742303848
excess stock more costly,0.25,TimesNet->TFT + residual quantile,A,C,deep subsample,0.0,0.6533864541832669,2510,0.6585528447778813,0.43831768445670605,1272.4312080293894,126.8454774543643,0.5315123533620978,0.08076992525782711,0.22270916334661356,0.6256790090278088,0.38820406794548035
excess stock more costly,0.25,TimesNet->TFT + residual quantile,B,A,deep subsample,0.0,0.6533864541832669,2510,0.6598109312741405,0.4344969652593136,1283.890140466392,124.0784323439002,0.5272933682755028,0.07973022309412188,0.21075697211155378,0.6200112888893758,0.36858996748924255
excess stock more costly,0.25,TimesNet->TFT + residual quantile,B,B,deep subsample,0.0,0.6533864541832669,2510,0.6598103946245524,0.43449559435248375,1283.8879286423326,124.07872062176466,0.5272941826317068,0.07973028024771266,0.21075697211155378,0.6200122849459192,0.36858993768692017
excess stock more costly,0.25,TimesNet->TFT + residual quantile,B,C,deep subsample,0.0,0.6533864541832669,2510,0.6598098637335804,0.43449532613158226,1283.8807627931237,124.08066505938768,0.5272968209761696,0.07973106294957319,0.21075697211155378,0.6200159145422666,0.36859065294265747
excess stock more costly,0.25,TimesNet->TFT + residual quantile,C,A,deep subsample,0.0,0.6533864541832669,2510,0.6603881204567582,0.44872037321329117,1271.8089426085353,128.58841324597597,0.5317414609639551,0.0817566237650451,0.22191235059760955,0.626621320267835,0.38830964267253876
excess stock more costly,0.25,TimesNet->TFT + residual quantile,C,B,deep subsample,0.0,0.6533864541832669,2510,0.6603881101788159,0.44872037321329117,1271.8087923116982,128.5884547457099,0.5317415163007082,0.08175664018084516,0.22191235059760955,0.6266213966808115,0.38830964267253876
excess stock more costly,0.25,TimesNet->TFT + residual quantile,C,C,deep subsample,0.0,0.6533864541832669,2510,0.6603881202652991,0.44872017949819565,1271.8083435036242,128.58861278742552,0.5317416815442491,0.0817567091192451,0.22191235059760955,0.626621638453636,0.3883109539747238
excess stock more costly,0.25,demand-quantile + adaptive calibration (sensitivity),A,A,full sample,0.0,0.0,20641,0.5815452871750819,0.34071260690689087,9304.913643165957,899.5875431383029,0.6121487922870877,0.05771910934949483,0.2503270190397752,0.7550801930406614,0.4665104150772095
excess stock more costly,0.25,demand-quantile + adaptive calibration (sensitivity),A,B,full sample,0.0,0.0,20641,0.5891607168642331,0.3442525118589401,9719.69667349002,813.7232277682051,0.59485963674848,0.05394267338575603,0.23555060316845114,0.7308251983362304,0.448946088552475
excess stock more costly,0.25,demand-quantile + adaptive calibration (sensitivity),A,C,full sample,0.0,0.0,20641,0.6149845895523742,0.35539155453443527,10879.439092198387,604.8192735840566,0.5465187799730603,0.04409487573119274,0.20105615038031102,0.6645180246095449,0.4125000238418579
excess stock more costly,0.25,demand-quantile + adaptive calibration (sensitivity),B,A,full sample,0.0,0.0,20641,0.5844766402466486,0.3410199284553528,9102.493400481995,987.2296436163597,0.6205861554482361,0.06218505936791899,0.2632139915701759,0.7691329202904079,0.4862382411956787
excess stock more costly,0.25,demand-quantile + adaptive calibration (sensitivity),B,B,full sample,0.0,0.0,20641,0.5885516772585238,0.3427814617753029,9471.95776503859,892.1124684181996,0.6051859910302241,0.057887690396752435,0.24834068116854804,0.7466252152492396,0.46615809202194214
excess stock more costly,0.25,demand-quantile + adaptive calibration (sensitivity),B,C,full sample,0.0,0.0,20641,0.6058419079077384,0.3489132821559906,10503.611946003512,667.1902917067055,0.5621841604519041,0.04713621804511582,0.20861392374400464,0.685747527265304,0.4218866527080536
excess stock more costly,0.25,demand-quantile + adaptive calibration (sensitivity),C,A,full sample,0.0,0.0,20641,0.6121142204471182,0.34311823546886444,8300.832944199909,1444.6055600163527,0.6540012937362795,0.08430873040616611,0.3242090983963955,0.8301297892736006,0.5327660441398621
excess stock more costly,0.25,demand-quantile + adaptive calibration (sensitivity),C,B,full sample,0.0,0.0,20641,0.6072262812922088,0.34388529509305954,8757.502355547273,1258.7517722017365,0.6349662129704621,0.07632413246484307,0.2981444697446829,0.7990012974775645,0.5087159276008606
excess stock more costly,0.25,demand-quantile + adaptive calibration (sensitivity),C,C,full sample,0.0,0.0,20641,0.6022901890409927,0.3449472114443779,9891.327995142085,846.8479322843486,0.5877056299584216,0.056658776849116424,0.2361804176154256,0.7241149315305562,0.4591473340988159
excess stock more costly,0.25,demand-quantile LightGBM (uncalibrated),A,A,full sample,0.0,0.0,20641,0.581553220527723,0.34045692533254623,9275.47840362275,909.4538737633266,0.6133757239539428,0.05820537634922237,0.2523618041761543,0.756984246631487,0.468416690826416
excess stock more costly,0.25,demand-quantile LightGBM (uncalibrated),A,B,full sample,0.0,0.0,20641,0.5890576882779623,0.34476138651371,9689.688839602284,823.016968047712,0.5961104355264735,0.05441699121482901,0.23787607189574148,0.7327292521207971,0.4508523643016815
excess stock more costly,0.25,demand-quantile LightGBM (uncalibrated),A,C,full sample,0.0,0.0,20641,0.6146180903559861,0.3547265753149986,10848.070253872778,612.7539163883775,0.547826308693445,0.04454571405588313,0.20318783004699384,0.6664221707812386,0.41440629959106445
excess stock more costly,0.25,demand-quantile LightGBM (uncalibrated),B,A,full sample,0.0,0.0,20641,0.5847889144697044,0.34128065407276154,9026.61129107792,1014.6722308304161,0.6237491044991164,0.06350036936017908,0.26839784894142726,0.7741387192642044,0.4912479817867279
excess stock more costly,0.25,demand-quantile LightGBM (uncalibrated),B,B,full sample,0.0,0.0,20641,0.5885660187614686,0.3427150771021843,9394.55106641911,918.0133756121213,0.6084124886309498,0.0591717020372836,0.25371832760040697,0.7516301862202877,0.4711678624153137
excess stock more costly,0.25,demand-quantile LightGBM (uncalibrated),B,C,full sample,0.0,0.0,20641,0.605065628041463,0.34713035076856613,10422.127802486531,689.0106086391024,0.5655806157748103,0.04832510500999035,0.21404001744101545,0.6907523458520671,0.4268963932991028
excess stock more costly,0.25,demand-quantile LightGBM (uncalibrated),C,A,full sample,0.0,0.0,20641,0.6115944216711723,0.34318437427282333,8325.623781837756,1432.765558625637,0.6529679519249757,0.08379687744900066,0.32222276052516835,0.8283551253024479,0.5309913754463196
excess stock more costly,0.25,demand-quantile LightGBM (uncalibrated),C,B,full sample,0.0,0.0,20641,0.6068906280640829,0.34343402087688446,8783.243429907132,1247.8620079878674,0.6338932630043297,0.07583226529497412,0.29615813187345574,0.7972266335284474,0.5069412589073181
excess stock more costly,0.25,demand-quantile LightGBM (uncalibrated),C,C,full sample,0.0,0.0,20641,0.6023958078098111,0.34506094455718994,9919.346143372415,838.2352418766313,0.5865377660699701,0.056220325580071465,0.2342909742745022,0.7223402675783228,0.4573726952075958
excess stock more costly,0.25,demand-quantile LightGBM + pooled conformal,A,A,full sample,0.0,0.062012499394409185,20641,0.5766400395037722,0.33812861144542694,9270.896579222579,877.1768253915943,0.6135667054283855,0.05623931803236483,0.24664502688823217,0.755642488772296,0.4596249461174011
excess stock more costly,0.25,demand-quantile LightGBM + pooled conformal,A,B,full sample,0.0,0.062012499394409185,20641,0.5840580870586238,0.3437929153442383,9684.429734245175,790.37108024396,0.5963296477021547,0.05235328094961839,0.23099656024417423,0.7314024374099477,0.44450920820236206
excess stock more costly,0.25,demand-quantile LightGBM + pooled conformal,A,C,full sample,0.0,0.062012499394409185,20641,0.6101841899653699,0.3551323935389519,10841.732033331122,584.3599439146928,0.5480905009886241,0.04254976582965279,0.1938375078726806,0.6653536299192635,0.40649402141571045
excess stock more costly,0.25,demand-quantile LightGBM + pooled conformal,B,A,full sample,0.0,0.062012499394409185,20641,0.5791910921087222,0.3392833396792412,9048.715619692579,968.7892375078518,0.6228277428532535,0.06088797873797901,0.2599195775398479,0.7708449194513454,0.47781500220298767
excess stock more costly,0.25,demand-quantile LightGBM + pooled conformal,B,B,full sample,0.0,0.062012499394409185,20641,0.5825398703347608,0.34191393852233887,9414.265550716722,869.9799709543586,0.6075907414511807,0.05632159249754364,0.2440773218351824,0.7483479862805863,0.457609087228775
excess stock more costly,0.25,demand-quantile LightGBM + pooled conformal,B,C,full sample,0.0,0.062012499394409185,20641,0.5999021424817694,0.3484155759215355,10444.979104376282,645.8670061966404,0.5646281184840631,0.04550979451780245,0.20478658979700595,0.6875550732232113,0.41703617572784424
excess stock more costly,0.25,demand-quantile LightGBM + pooled conformal,C,A,full sample,0.0,0.062012499394409185,20641,0.6101966896514212,0.3414691612124443,8283.851103936297,1437.072922386229,0.6547091377322597,0.08382289215044188,0.31839542657816966,0.8305875772990591,0.526075541973114
excess stock more costly,0.25,demand-quantile LightGBM + pooled conformal,C,B,full sample,0.0,0.062012499394409185,20641,0.6034177279610285,0.3438034951686859,8731.193674725946,1241.3172160392146,0.6360628221407556,0.0752265141220346,0.2922339033961533,0.7994312245479004,0.5019624829292297
excess stock more costly,0.25,demand-quantile LightGBM + pooled conformal,C,C,full sample,0.0,0.062012499394409185,20641,0.5978104920477867,0.34529512375593185,9859.66046944051,826.581965639285,0.5890256086879024,0.05526071803414319,0.23254687272903446,0.7246673058853118,0.45177537202835083
excess stock more costly,0.25,raw-sales LightGBM + residual quantile,A,A,full sample,0.0,0.062012499394409185,20641,0.5447576955220754,0.3406091555953026,8409.68815402902,944.8851464140462,0.6494639464575036,0.05717521007512761,0.25023012450947146,0.8006459646802467,0.46485838294029236
