train_mech,severity,mean,size
A,0 h (complete),0.07296158131873456,20641
A,1-4 h,0.17967056783701776,4614
A,5-8 h,0.12831325301204818,4980
A,9-16 h,0.033368310598111225,4765
B,0 h (complete),0.07082990165205175,20641
B,1-4 h,0.1707845687039445,4614
B,5-8 h,0.11686746987951807,4980
B,9-16 h,0.03273871983210913,4765
C,0 h (complete),0.05794292912165108,20641
C,1-4 h,0.14651061985262245,4614
C,5-8 h,0.10441767068273092,4980
C,9-16 h,0.029800629590766,4765
