train_mech,rows,definite-miss lower bound,on complete (donor) rows,on genuinely censored rows
A,35000.0,0.08951428571428571,0.07296158131873456,0.11330872623441744
B,35000.0,0.08537142857142857,0.07082990165205175,0.10627481022355317
C,35000.0,0.0724,0.05794292912165108,0.09318197646075632
