scenario,beta,policy,train_mech,test_hist,matched mean cost,unseen mean cost,cost transfer gap,fill-rate change,leftover-share change
excess stock more costly,0.25,raw-sales LightGBM + residual quantile,B,C,0.5528038862543037,0.5796402405723223,0.026836354318018674,-0.06701897028020032,-0.01653130274976386
excess stock more costly,0.25,raw-sales LightGBM + residual quantile,C,A,0.5970781843290557,0.587389364191906,-0.009688820137149667,0.07955935338769826,0.025140598183990406
excess stock more costly,0.25,raw-sales LightGBM + residual quantile,C,B,0.5970781843290557,0.5848999437200916,-0.012178240608964108,0.058964965893321786,0.017436851147223223
excess stock more costly,0.25,raw-sales quantile LightGBM,A,B,0.5748762476287443,0.5900375737399937,0.015161326111249318,-0.021253639566745974,-0.002796744112539294
excess stock more costly,0.25,raw-sales quantile LightGBM,A,C,0.5748762476287443,0.64968477680261,0.07480852917386571,-0.09414528114641868,-0.010235320846140934
excess stock more costly,0.25,raw-sales quantile LightGBM,B,A,0.6132821617990748,0.5967419012219514,-0.016540260577123433,0.021319106339071192,0.002449987208898406
excess stock more costly,0.25,raw-sales quantile LightGBM,B,C,0.6132821617990748,0.6737920511879787,0.06050988938890389,-0.07245105064890878,-0.007645604268760917
excess stock more costly,0.25,raw-sales quantile LightGBM,C,A,0.7532347923325347,0.6922441750083275,-0.060990617324207186,0.06472512990362872,0.005188076210248166
excess stock more costly,0.25,raw-sales quantile LightGBM,C,B,0.7532347923325347,0.7060469393094899,-0.047187853023044735,0.04868654366581515,0.0032269979581941548
excess stock more costly,0.25,seasonal_naive + residual quantile,A,B,0.6759336178084545,0.6889529932618561,0.013019375453401594,-0.04368829977629629,-0.007362730243969023
excess stock more costly,0.25,seasonal_naive + residual quantile,A,C,0.6759336178084545,0.770526556198781,0.09459293839032645,-0.17190269098851346,-0.016086419691328208
excess stock more costly,0.25,seasonal_naive + residual quantile,B,A,0.6908673120519686,0.6850713138929984,-0.00579599815897025,0.04219431966582776,0.00873873139403955
