scenario,date,mechanism,n,mean cost,median cost,total shortage,total leftover,fill rate,leftover share,cycle service,mean order,median order
excess stock more costly,2024-06-26,A,2968,0.5735295322738435,0.337585236877203,1328.6931106266566,124.51418038737029,0.5999333096792551,0.05881633128213978,0.23685983827493262,0.7132749730751553,0.42105521261692047
excess stock more costly,2024-06-26,B,2968,0.579330717757717,0.34041059017181396,1365.2913057161495,118.05408819625154,0.5889136704081063,0.05692256471653366,0.23315363881401618,0.6987674638835746,0.4133215993642807
excess stock more costly,2024-06-26,C,2968,0.5925960426889509,0.3427434079349041,1428.8349569393322,109.99669925382477,0.5697808111854339,0.05493405501106169,0.22136118598382748,0.6746431242051347,0.40491071343421936
excess stock more costly,2024-06-27,A,3169,0.5513684407192344,0.3250354677438736,1393.749417264713,117.84572379151359,0.5974112423564549,0.05390771012936991,0.2335121489428842,0.6898278191998811,0.41408127546310425
excess stock more costly,2024-06-27,B,3169,0.559881098562121,0.3283266946673393,1425.1032750033773,116.38664211332798,0.5883545851998809,0.05405158034608807,0.2243609971599874,0.679473467853447,0.40648502111434937
excess stock more costly,2024-06-27,C,3169,0.5740606216437534,0.3331008329987526,1507.2921136980876,103.96866543032229,0.564614089202253,0.05050345514504534,0.20100978226569896,0.6496196289838616,0.39448341727256775
excess stock more costly,2024-06-28,A,3385,0.5091157616178011,0.31277118623256683,1292.8908942956477,143.4886529268697,0.6372875025242759,0.05941303722962195,0.2514032496307238,0.7134723237488677,0.4210377335548401
excess stock more costly,2024-06-28,B,3385,0.5148309094590435,0.3233983963727951,1314.1363261988736,142.85543410666287,0.6313272287691053,0.05969159784291552,0.25081240768094537,0.7070089114228906,0.42131492495536804
excess stock more costly,2024-06-28,C,3385,0.5217150582672624,0.3150578439235687,1364.7418993804604,133.7545242847409,0.6171301500242019,0.05731881441838799,0.2431314623338257,0.6893703640067875,0.41258272528648376
excess stock more costly,2024-06-29,A,3221,0.5766512590604833,0.3712714612483978,1355.1763164006406,167.405796344392,0.662891049756383,0.05910752967443613,0.2744489289040671,0.8792997656329857,0.560300350189209
excess stock more costly,2024-06-29,B,3221,0.5819616729241224,0.37362197786569595,1349.4167923815548,175.02725203568116,0.6643237689328322,0.06150791123696176,0.27569077926109903,0.8834540592406774,0.5625532269477844
excess stock more costly,2024-06-29,C,3221,0.5976243067251733,0.37642208486795425,1425.972823606804,166.32502278499305,0.645279956693177,0.06025510809230185,0.2610990375659733,0.8569845589376854,0.5482035875320435
excess stock more costly,2024-06-30,A,2507,0.7294221911311899,0.4139380231499672,1510.1269497834146,106.17816112749279,0.5773906405751889,0.048943758090567294,0.2285600319106502,0.8653335707722062,0.560954213142395
excess stock more costly,2024-06-30,B,2507,0.7253757080855981,0.4057721644639969,1499.193509619683,106.44113018363714,0.580450366212538,0.04881304778161353,0.22776226565616275,0.8697996294957306,0.5633309483528137
excess stock more costly,2024-06-30,C,2507,0.7497889857280793,0.41230558604002,1552.708426692523,109.00418684259057,0.565474204885791,0.051184426132056905,0.23254886318308735,0.8494757920749542,0.5595651865005493
excess stock more costly,2024-07-01,A,2767,0.5463065888337314,0.3114292770624161,1165.1781907546683,115.48404684942216,0.6200482828090612,0.05725666153361873,0.25406577520780627,0.7289316592668234,0.4265402853488922
excess stock more costly,2024-07-01,B,2767,0.5528722052434799,0.30896691232919693,1205.9757891814224,107.94053424242884,0.6067446373216085,0.054830759396717166,0.2490061438380918,0.7114610734215948,0.4212132394313812
excess stock more costly,2024-07-01,C,2767,0.5716412631808442,0.3234035298228264,1265.1423421248328,105.52967769885436,0.5874510789890782,0.05533703190223305,0.2399710878207445,0.6892068596568731,0.4132607877254486
excess stock more costly,2024-07-02,A,2624,0.5837890594475761,0.3186945654451847,1225.0817000968382,102.2602639645338,0.5893535071307882,0.05496449330400431,0.24275914634146342,0.7090238595680226,0.41349171102046967
