train_mech,point,lo,hi,clusters,n,dates
A,0.08951428571428571,0.08521566185780712,0.09417303502297245,866,35000,7
B,0.08537142857142857,0.08080362392561195,0.08962330369149991,866,35000,7
C,0.0724,0.06843757161787409,0.0766168543029737,866,35000,7
