mechanism,hidden donor hours scored,donor days used (fit blocks),MAE,WAPE,signed bias,share of scored truths equal to zero,train sequences,epochs
A,58449,9102,0.0728087052278842,0.9174392172158619,-0.046620228059266196,0.5892316378381153,1200,4
B,82225,11276,0.07029108301827026,0.918592842259549,-0.04656727673318809,0.5901368197020371,1200,4
C,149723,16303,0.06776197968871844,0.9344128464331894,-0.037092106475216526,0.6050840552219766,1200,4
