mechanism,sales_tier,MAE,WAPE,n
A,high,0.1094632943803318,0.835358722430955,19643.0
A,low,0.04713327226733827,1.0290485091375554,18922.0
A,mid,0.061031620524500674,1.0130583436004634,19884.0
B,high,0.10513638229184338,0.8386560215874284,28005.0
B,low,0.045107692901136975,1.0314380080485666,25683.0
B,mid,0.058760172348680584,1.0114173916866989,28537.0
C,high,0.10318407130577546,0.8411051182533459,52361.0
C,low,0.04136075493756165,1.081919918183888,46613.0
C,mid,0.05546428220039255,1.0612913079706086,50749.0
