variant,train_mech,n,WAPE,MAE,signed bias %
direct,A,5407.0,0.4526968217299655,0.42892752485321733,-7.374125813083685
direct,B,5407.0,0.45141835591159124,0.42771618615419765,-0.05622691521143329
direct,C,5407.0,0.4532770911054908,0.42947732660804533,-5.455824348150189
recovered,A,5407.0,0.4140328578090298,0.3922936508130911,-8.915843425561656
recovered,B,5407.0,0.4125431070890301,0.39088212093634955,-2.1099888350668303
recovered,C,5407.0,0.4154499865425001,0.39363637179293565,-7.637627527215941
