MIN_KM_OBSERVATIONS,"mean newsvendor cost (tuning, exact donors)",unsupported share
100,0.8694713175824744,0.09673751421324236
200,0.8689245384697984,0.09638764978570805
400,0.8750526588915931,0.09688329105804834
