mechanism,n,MAE,WAPE,bias_mean(pred-y),rel_bias
A,45097,0.32063519928533085,0.3334404164944221,-0.0209997245796263,-0.0218383911863263
B,45097,0.32323064461104023,0.33613951619502264,-0.020663747423371362,-0.021488996100683926
C,45097,0.3228651325677611,0.3357594066867205,-0.020381905465499447,-0.02119589821240503
