pair,tuning target donors,y_lag1,y_lag7,y_roll7,y_roll28,y_don_roll14,so_lag1,so_rate14,don_frac7,any timeline feature,identical target donor IDs,identical proxy labels
A vs B,45097,0.19852761824511608,0.17684103155420539,0.41233341463955475,0.6173137902742977,0.35995742510588286,0.1830498702796195,0.47120651041089207,0.27984123112402154,0.7283633057631328,True,True
A vs C,45097,0.5858482825908597,0.5464221566844801,0.9784021110051666,0.9992682440073619,0.9478014058584828,0.5688848482160676,0.9963190456127902,0.836374925161319,0.9998447790318646,True,True
B vs C,45097,0.585404794110473,0.5460008426281128,0.9779364481007606,0.9992682440073619,0.7963500898064173,0.48440029270239704,0.9894227997427767,0.6565181719404839,0.9998447790318646,True,True
real vs A,45097,0.30261436459187974,0.2938111182562033,0.8731401201853782,0.9968068829412156,0.9726811096081779,0.30270306228795707,0.9744772379537442,0.8731844690334168,0.9994899882475553,True,True
real vs B,45097,0.38226489566933497,0.3610661463068497,0.9101492338736501,0.9978490808701244,0.9816839257600284,0.38250881433354766,0.9831474377453046,0.9103709781138435,0.9995786859436326,True,True
real vs C,45097,0.5862252477991884,0.5467104241967314,0.9790008204536887,0.9993347672794199,0.9966738363970996,0.5875778876643679,0.997161673725525,0.9794443089340754,0.9998447790318646,True,True
