k,sigma,fit_loss,tune_loss,fit_rate_partial,fit_mean_first,fit_mean_dur
1.0,0.25,0.23464308266154926,0.23977274493265743,0.4626310849200281,15.00554935974094,6.44420407669672
1.25,0.5,0.25959198283013896,0.23808372425953603,0.34550472744904237,14.75856857559238,6.70853349166082
1.0,0.5,0.29448509968278636,0.30308132579316105,0.4612510800713624,14.293796579560922,7.171682322340669
1.25,0.25,0.3073219831454076,0.2965648527019681,0.3116946086567331,15.543755733716246,5.935204020581549
1.5,0.5,0.33129150167749793,0.3103691097884765,0.25704144365912635,15.073204353083435,6.403482466747279
1.25,0.8,0.37379735853561125,0.34497346248489746,0.3749386146491866,13.819981431129385,7.671596259698919
1.5,0.8,0.3930046792061801,0.3611368884571458,0.30670296949691983,14.084497051014411,7.396501753177
2.0,0.8,0.4233403684687222,0.393318471030916,0.21149506741510174,14.448226199923582,7.032331070158422
0.8,0.25,0.4330733833974665,0.4427647634974079,0.6096451149693228,14.365849928114772,7.074016293985093
1.5,0.25,0.44475410239870583,0.4345275453004676,0.2045950431717733,15.841400054689636,5.660164676571568
2.5,0.8,0.4539855839929202,0.4272719178484243,0.15149593768842973,14.704690000410324,6.77772762709778
1.0,0.8,0.45790730034381555,0.4737172716272928,0.4611454040243925,13.447091016930875,8.043459506092958
2.0,0.5,0.46319248650132694,0.43187666590679724,0.14612510800713624,15.448972646445739,6.04037095333305
0.8,0.5,0.4983751574234029,0.5038178429826969,0.5757355363681007,13.777008788788356,7.691917337882485
2.5,0.5,0.543579439466583,0.5185450387502792,0.08747490193884465,15.712620807276862,5.804079022171688
2.0,0.25,0.5837418347114293,0.5831203672638219,0.09040275006371644,16.140411194389053,5.389947053565289
0.8,0.8,0.620681800774068,0.6380497067430326,0.5458354313136776,13.065028243440233,8.442055393586006
2.5,0.25,0.6340831635123017,0.6068718016925656,0.0446201567735238,16.23070493173586,5.337837837837838
